numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,window_start,window_end
486,19462204,17489364,118,30,101,48.6,1946220.4,1748936.4,11.8,3.0,10.1,290.0,10.0,29,2024-12-11 17:22:10,2024-12-11 17:27:10
449,16061626,14106246,119,30,107,44.9,1606162.6,1410624.6,11.9,3.0,10.7,290.0,10.0,29,2024-12-11 17:23:10,2024-12-11 17:28:10
451,16379978,14570654,113,29,108,45.1,1637997.8,1457065.4,11.3,2.9,10.8,281.0,10.035714285714286,28,2024-12-11 17:24:10,2024-12-11 17:29:10
399,11318863,9441121,119,29,108,39.9,1131886.3,944112.1,11.9,2.9,10.8,281.0,10.035714285714286,28,2024-12-11 17:25:10,2024-12-11 17:30:10
357,7909228,6148546,116,29,100,35.7,790922.8,614854.6,11.6,2.9,10.0,281.0,10.035714285714286,28,2024-12-11 17:26:10,2024-12-11 17:31:10
349,7944337,6235192,106,29,102,34.9,794433.7,623519.2,10.6,2.9,10.2,281.0,10.035714285714286,28,2024-12-11 17:27:10,2024-12-11 17:32:10
370,7832437,6053854,111,29,104,37.0,783243.7,605385.4,11.1,2.9,10.4,281.0,10.035714285714286,28,2024-12-11 17:28:10,2024-12-11 17:33:10
333,6585655,4938971,101,30,94,33.3,658565.5,493897.1,10.1,3.0,9.4,290.0,10.0,29,2024-12-11 17:29:10,2024-12-11 17:34:10
347,6941843,5311472,99,29,96,34.7,694184.3,531147.2,9.9,2.9,9.6,280.0,10.0,28,2024-12-11 17:30:10,2024-12-11 17:35:10
365,8274923,6527742,107,29,99,36.5,827492.3,652774.2,10.7,2.9,9.9,280.0,10.0,28,2024-12-11 17:31:10,2024-12-11 17:36:10
339,8700920,7129671,96,29,87,33.9,870092.0,712967.1,9.6,2.9,8.7,280.0,10.0,28,2024-12-11 17:32:10,2024-12-11 17:37:10
310,7179464,5600498,91,29,85,31.0,717946.4,560049.8,9.1,2.9,8.5,280.0,10.0,28,2024-12-11 17:33:10,2024-12-11 17:38:10
350,8792679,7100718,100,29,91,35.0,879267.9,710071.8,10.0,2.9,9.1,280.0,10.0,28,2024-12-11 17:34:10,2024-12-11 17:39:10
344,9284602,7560468,101,30,88,34.4,928460.2,756046.8,10.1,3.0,8.8,290.0,10.0,29,2024-12-11 17:35:10,2024-12-11 17:40:10
335,7780285,5903712,106,30,95,33.5,778028.5,590371.2,10.6,3.0,9.5,291.0,10.03448275862069,29,2024-12-11 17:36:10,2024-12-11 17:41:10
344,6593710,4511426,121,30,101,34.4,659371.0,451142.6,12.1,3.0,10.1,291.0,10.03448275862069,29,2024-12-11 17:37:10,2024-12-11 17:42:10
352,8222010,6234840,122,29,101,35.2,822201.0,623484.0,12.2,2.9,10.1,281.0,10.035714285714286,28,2024-12-11 17:38:10,2024-12-11 17:43:10
353,8456652,6320335,127,29,106,35.3,845665.2,632033.5,12.7,2.9,10.6,281.0,10.035714285714286,28,2024-12-11 17:39:10,2024-12-11 17:44:10
363,9473943,7474354,122,29,104,36.3,947394.3,747435.4,12.2,2.9,10.4,281.0,10.035714285714286,28,2024-12-11 17:40:10,2024-12-11 17:45:10
346,9272480,7520183,110,29,93,34.6,927248.0,752018.3,11.0,2.9,9.3,281.0,10.035714285714286,28,2024-12-11 17:41:10,2024-12-11 17:46:10
337,9249219,7553736,107,29,92,33.7,924921.9,755373.6,10.7,2.9,9.2,281.0,10.035714285714286,28,2024-12-11 17:42:10,2024-12-11 17:47:10
364,10908733,9217188,100,30,94,36.4,1090873.3,921718.8,10.0,3.0,9.4,291.0,10.03448275862069,29,2024-12-11 17:43:10,2024-12-11 17:48:10
377,11903514,10317625,100,30,88,37.7,1190351.4,1031762.5,10.0,3.0,8.8,292.0,10.068965517241379,29,2024-12-11 17:44:10,2024-12-11 17:49:10
361,10241300,8593972,100,30,87,36.1,1024130.0,859397.2,10.0,3.0,8.7,292.0,10.068965517241379,29,2024-12-11 17:45:10,2024-12-11 17:50:10
334,9290149,7677368,100,29,82,33.4,929014.9,767736.8,10.0,2.9,8.2,281.0,10.035714285714286,28,2024-12-11 17:46:10,2024-12-11 17:51:10
360,10653212,9093840,97,29,83,36.0,1065321.2,909384.0,9.7,2.9,8.3,281.0,10.035714285714286,28,2024-12-11 17:47:10,2024-12-11 17:52:10
349,9302464,7613615,112,29,82,34.9,930246.4,761361.5,11.2,2.9,8.2,280.0,10.0,28,2024-12-11 17:48:10,2024-12-11 17:53:10
316,6980352,5315653,109,29,81,31.6,698035.2,531565.3,10.9,2.9,8.1,280.0,10.0,28,2024-12-11 17:49:10,2024-12-11 17:54:10
314,6842489,5102640,110,29,90,31.4,684248.9,510264.0,11.0,2.9,9.0,280.0,10.0,28,2024-12-11 17:50:10,2024-12-11 17:55:10
335,8003324,6269015,106,30,94,33.5,800332.4,626901.5,10.6,3.0,9.4,290.0,10.0,29,2024-12-11 17:51:10,2024-12-11 17:56:10
382,10112905,8188457,112,30,97,38.2,1011290.5,818845.7,11.2,3.0,9.7,291.0,10.03448275862069,29,2024-12-11 17:52:10,2024-12-11 17:57:10
331,7514048,5782230,97,29,88,33.1,751404.8,578223.0,9.7,2.9,8.8,281.0,10.035714285714286,28,2024-12-11 17:53:10,2024-12-11 17:58:10
363,8766718,6873357,103,29,100,36.3,876671.8,687335.7,10.3,2.9,10.0,281.0,10.035714285714286,28,2024-12-11 17:54:10,2024-12-11 17:59:10
369,10255282,8354002,106,29,92,36.9,1025528.2,835400.2,10.6,2.9,9.2,281.0,10.035714285714286,28,2024-12-11 17:55:10,2024-12-11 18:00:10
403,11770108,9783179,110,29,91,40.3,1177010.8,978317.9,11.0,2.9,9.1,280.0,10.0,28,2024-12-11 17:56:10,2024-12-11 18:01:10
322,8455047,6743055,99,29,83,32.2,845504.7,674305.5,9.9,2.9,8.3,281.0,10.035714285714286,28,2024-12-11 17:57:10,2024-12-11 18:02:10
375,11854601,10116796,97,30,83,37.5,1185460.1,1011679.6,9.7,3.0,8.3,291.0,10.03448275862069,29,2024-12-11 17:58:10,2024-12-11 18:03:10
335,10722240,9232621,81,30,71,33.5,1072224.0,923262.1,8.1,3.0,7.1,291.0,10.03448275862069,29,2024-12-11 17:59:10,2024-12-11 18:04:10
352,10673226,9248049,79,30,77,35.2,1067322.6,924804.9,7.9,3.0,7.7,291.0,10.03448275862069,29,2024-12-11 18:00:10,2024-12-11 18:05:10
371,12457480,11127082,74,29,74,37.1,1245748.0,1112708.2,7.4,2.9,7.4,281.0,10.035714285714286,28,2024-12-11 18:01:10,2024-12-11 18:06:10
400,13585155,12012261,86,29,85,40.0,1358515.5,1201226.1,8.6,2.9,8.5,281.0,10.035714285714286,28,2024-12-11 18:02:10,2024-12-11 18:07:10
354,11243126,9754569,86,29,81,35.4,1124312.6,975456.9,8.6,2.9,8.1,281.0,10.035714285714286,28,2024-12-11 18:03:10,2024-12-11 18:08:10
417,16816091,15330746,83,29,76,41.7,1681609.1,1533074.6,8.3,2.9,7.6,281.0,10.035714285714286,28,2024-12-11 18:04:10,2024-12-11 18:09:10
357,14825434,13577690,69,29,61,35.7,1482543.4,1357769.0,6.9,2.9,6.1,291.0,10.03448275862069,29,2024-12-11 18:05:10,2024-12-11 18:10:10
340,12755285,11295094,82,30,78,34.0,1275528.5,1129509.4,8.2,3.0,7.8,291.0,10.03448275862069,29,2024-12-11 18:06:10,2024-12-11 18:11:10
346,13412236,12105638,77,29,74,34.6,1341223.6,1210563.8,7.7,2.9,7.4,280.0,10.0,28,2024-12-11 18:07:10,2024-12-11 18:12:10
396,14999511,13554175,85,29,83,39.6,1499951.1,1355417.5,8.5,2.9,8.3,280.0,10.0,28,2024-12-11 18:08:10,2024-12-11 18:13:10
358,11421390,10029537,86,29,88,35.8,1142139.0,1002953.7,8.6,2.9,8.8,280.0,10.0,28,2024-12-11 18:09:10,2024-12-11 18:14:10
419,13066658,11313724,110,29,106,41.9,1306665.8,1131372.4,11.0,2.9,10.6,280.0,10.0,28,2024-12-11 18:10:10,2024-12-11 18:15:10
463,15789990,14248328,96,29,90,46.3,1578999.0,1424832.8,9.6,2.9,9.0,280.0,10.0,28,2024-12-11 18:11:10,2024-12-11 18:16:10
447,14881990,13387126,92,29,89,44.7,1488199.0,1338712.6,9.2,2.9,8.9,280.0,10.0,28,2024-12-11 18:12:10,2024-12-11 18:17:10
423,13487185,11999333,91,29,88,42.3,1348718.5,1199933.3,9.1,2.9,8.8,280.0,10.0,28,2024-12-11 18:13:10,2024-12-11 18:18:10
435,12115982,10328230,113,29,99,43.5,1211598.2,1032823.0,11.3,2.9,9.9,280.0,10.0,28,2024-12-11 18:14:10,2024-12-11 18:19:10
421,11491721,9835798,112,29,92,42.1,1149172.1,983579.8,11.2,2.9,9.2,281.0,10.035714285714286,28,2024-12-11 18:15:10,2024-12-11 18:20:10
352,6992580,5215770,125,29,102,35.2,699258.0,521577.0,12.5,2.9,10.2,291.0,10.03448275862069,29,2024-12-11 18:16:10,2024-12-11 18:21:10
362,6847089,4926806,131,29,103,36.2,684708.9,492680.6,13.1,2.9,10.3,281.0,10.035714285714286,28,2024-12-11 18:17:10,2024-12-11 18:22:10
